Idiom,Meaning
떡 주고 뺨 맞는다,남을 위하여 좋은 일을 해 주고 도리어 욕을 보거나 화를 입게 되는 경우를 비유적으로 이르는 말.
떡 줄 사람은 꿈도 안 꾸는데 김칫국부터 마신다,해 줄 사람은 생각지도 않는데 미리부터 다 된 일로 알고 행동한다는 말.
떡 쥐고 쓰레기통으로 들어간다,행운을 눈앞에 두고도 그것을 향유할 수 없는 처량한 처지를 비유적으로 이르는 말.
떡도 떡같이 못 해 먹고 찹쌀 한 섬만 다 없어졌다,애써 한 일에 알맞은 효과나 이익도 보지 못하고 많은 비용만 허비하였다는 말.
떡으로 치면 떡으로 치고 돌로 치면 돌로 친다,남이 나를 대하는 것만큼 나도 남을 그만큼밖에는 대접하지 아니한다는 것을 비유적으로 이르는 말.
떡이 별 떡 있지 사람은 별사람 없다,떡의 종류는 많으나 사람은 크게 차이가 없다는 말.
떫은 배도 씹어 볼 만하다, 정을 붙이면 처음에 나빠 보이던 것도 점차 좋아짐을 비유적으로 이르는 말.
떼장 밑이 저승이다,죽음과 저승이 따로 먼 곳에 있는 것이 아니라는 말.
또아리 샅 가린다,가린다고 가렸으나 가장 요긴한 데를 가리지 못했음을 이르는 말.
똥 뀐 년이 바람맞이에 선다,미운 사람이 더욱 미운 짓을 함을 이르는 말.
똥 누고 간 우물도 다시 먹을 날이 있다,두 번 다시 안 볼 것같이 하여도 나중에 다시 만나 사정하게 됨을 비유적으로 이르는 말.
똥 누고 개 불러 대듯,필요하면 아무 때나 마구 불러 대는 것을 비유적으로 이르는 말.
똥 누러 가서 밥 달라고 하느냐,처음에 목적하던 일을 하러 가서 전혀 딴짓을 함을 이르는 말.
똥 누러 갈 적 마음 다르고 올 적 마음 다르다,자기 일이 아주 급한 때는 통사정하며 매달리다가 그 일을 무사히 다 마치고 나면 모른 체하고 지낸다는 말.
똥 되다,"체면, 면목 따위가 형편없이 되다."
똥 때문에 살인 난다,보잘것없는 것을 가지고 이익을 다투다가 사고가 난다는 말.
똥 떨어진 데 섰다,뜻밖에 재수 좋은 일이 생겼다는 말.
똥 먹은 개 구린내 풍긴다,겉으로는 아무렇지도 않으나 어디에 가도 그 본성은 드러나게 되어 있음을 이르는 말.
똥 먹은 곰의 상,불쾌하여 심하게 찌푸린 얼굴을 비유적으로 이르는 말.
똥 묻은 개 쫓듯,어떤 부정적인 대상이 나타났을 때 여유를 주지 않고 마구 쫓아내는 모양을 비유적으로 이르는 말.
똥 묻은 접시가 재 묻은 접시를 흉본다,자기는 더 큰 흉이 있으면서 도리어 남의 작은 흉을 본다는 말.
똥 벌레가 제 몸 더러운 줄 모른다,사람은 제 자신의 잘못이나 결점은 모른다는 말.
똥 싸고 성낸다, 잘못을 저지른 쪽에서 오히려 남에게 성냄을 비꼬는 말.
똥 싸다,몹시 힘들다.
똥 싼 년이 핑계 없을까,아무리 큰 잘못을 저지른 사람도 그것을 변명하고 이유를 붙일 수 있다는 말.
똥 중에 고양이 똥이 제일 구리다,고양이같이 간교한 성격의 인물이 제일 고약하다는 말.
똥 찌른 막대 꼬챙이,천하게 되어 아무짝에도 못 쓰게 된 물건이나 버림받은 사람을 이르는 말.
똥끝 타다,"애가 타서 똥자루가 굳어지고 빛이 검어지다.,몹시 힘이 들거나 마음을 졸이다."
똥넉가래 내세우듯,대단하지도 않은 일을 걸핏하면 들먹여 내세우는 모양.
똥물에 튀할 놈,지지리 못나서 아무짝에도 쓸모없는 사람을 속되게 이르는 말.
똥오줌을 못 가리다,사리 분별을 못하다.
똥은 말라도 구리다,한번 한 나쁜 일은 쉽게 그 흔적을 없애기가 어렵다는 말.
똥창 맞다,뜻이 서로 맞다.
뛰는 놈 위에 나는 놈 있다, 스스로 뽐내는 사람을 경계하여 이르는 말.
뛰는 놈이 있으면 나는 놈이 있다, 스스로 뽐내는 사람을 경계하여 이르는 말.
뛰는 토끼 잡으려다 잡은 토끼 놓친다,일을 자꾸 벌여만 놓다가 이미 이루어 놓은 것도 못쓰게 만듦을 비유적으로 이르는 말.
뛰면 벼룩이요 날면 파리,"벼룩과 파리가 가장 귀찮고 미운 존재이듯, 제 뜻에 맞지 않는 자는 무슨 짓을 하나 밉게만 보인다는 말."
뛰어 보았자 부처님 손바닥,도망쳐 보아야 크게 벗어날 수 없다는 말.
뛰어야 벼룩,도망쳐 보아야 크게 벗어날 수 없다는 말.
뛰지도 걷지도 못하다,이러지도 저러지도 못하는 매우 난처한 처지에 빠져 옴짝달싹 못 하다.
뜨거운 맛을 보다,호된 고통이나 어려움을 겪다.
뜨물 먹은 당나귀 청,컬컬하게 쉰 목소리를 비유적으로 이르는 말.
뜨물에 빠진 바퀴 눈 같다,정신이 밝지 못하여 눈알이 흐리멍덩함을 비유적으로 이르는 말.
뜬 소 울 넘는다, 평소에 동작이 느린 사람이 뜻밖에 장한 일을 이룸을 이르는 말.
뜸 들이다,"일이나 말을 할 때에, 쉬거나 여유를 갖기 위해 서둘지 않고 한동안 가만히 있는 경우를 비유적으로 이르는 말."
량반은 더러워서 범도 안 잡아 먹는다, 양반은 겉으로는 점잖은 체하나 실상은 그 속내가 몹시 더럽고 못되기 그지없음을 이르는 말.
렴치도 가죽 안에 있다,사람을 무색하게 할 정도로 너무나 염치없는 짓을 하는 경우를 비유적으로 이르는 말.
룡의 새끼가 못 되면 미꾸라지가 된다, 처음부터 훌륭한 인재가 될 길로 들어서지 못하면 보잘것없는 인물밖에 되지 못함을 비유적으로 이르는 말.
마당 빌리다,신랑이 신부의 집에 가서 초례식을 지내다.
마당이 환하면 비가 오고 계집 뒤가 반지르르하면 애가 든다,아이 어머니의 쇠약하였던 몸이 다시 회복되고 몸매가 반지르르하게 되면 또 아이를 가지게 됨을 이르는 말.
마루 밑에 볕 들 때가 있다,어떤 일이나 고정불변한 것은 없음을 비유적으로 이르는 말.
마른 말은 꼬리가 길다,마르고 여위면 같은 것이라도 더 길어 보임을 이르는 말.
마른나무에 꽃이 피랴,별로 기대할 것이 없는 것에 희망을 걸고 있을 필요는 없음을 비유적으로 이르는 말.
마음 싸다,어떤 것이 마음이나 감정에 좋게 여겨지다.
마음에 있어야 꿈도 꾸지,생각이나 뜻이 없으면 이루어지는 것이 없음을 이르는 말.
마음이 맞으면 삶은 도토리 한 알 가지고도 시장 멈춤을 한다,사이좋은 어머니와 두 딸처럼 서로 사이가 좋고 마음이 맞는 사람끼리는 어떤 힘든 상황 가운데서도 별 불평 없이 서로가 도우며 잘 지낸다는 말.
마음이 천 리면 지척도 천 리라,서로 정이 깊지 못하면 가까이 있어도 매우 멀게 느껴짐을 이르는 말.
마음이 한 줌만 해지다,몹시 불안하거나 초조하여 마음이 자꾸 죄어들다.
마음처럼 간사한 건 없다,사람의 마음이란 이해관계에 따라서 간사스럽게 변함을 이르는 말.
마지막 담배 한 대는 기생첩도 안 준다,마지막 남은 한 대의 담배는 남을 주기가 매우 아까움을 이르는 말.
마치가 가벼우면 못이 솟는다,윗사람이 위엄이 없으면 아랫사람이 순종하지 아니하고 반항하게 됨을 비유적으로 이르는 말.
막걸리 거르려다 지게미도 못 건진다,큰 이익을 보려다가 도리어 손해만 보았다는 말.
막밀어 열닷 냥 금,어떤 일을 구체적으로 정확히 따져 보지 아니하고 대충 한 부류로 처리하는 경우를 비유적으로 이르는 말.
막을 내리다,무대의 공연이나 어떤 행사를 마치다.
막을 열다,무대의 공연이나 어떤 행사를 시작하다.
만 냥의 돈인들 무슨 소용이냐,아무리 가치 있는 것이라도 직접 이용할 수 없는 경우에는 소용이 없다는 말.
만 리 길도 한 걸음으로 시작된다,"아무리 큰 일도 작은 일로부터 비롯된다는 말.,훌륭하게 된 인물도 그 근본을 캐어 보면 범인과 별 다름 없으나 노력한 결과로 그리되었다는 말."
만경창파에 배 밑 뚫기,심통 사나운 짓을 비유적으로 이르는 말.
만득이 북 짊어지듯,짊어진 물건이 둥글고 크며 보기에 매우 불편해 보이는 형상을 이르는 말.
만만한 년은 제 서방 굿도 못 본다,사람이 변변치 못하면 응당 제가 차지하여야 할 것까지도 차지하지 못하고 놓친다는 말.
만만한 놈은 성도 없나,사람은 다 인격을 가지고 있는 것이니 만만하다고 업신여기지 말라는 말.
만만한 데 말뚝 박는다,힘이나 세력이 없는 사람을 업신여기고 구박한다는 말.
만에 하나,아주 매우 드묾을 이르는 말.
만진중의 외 장사, 어지러운 환경 속에서의 귀중한 존재를 이르는 말.
맏며느리 손 큰 것,아무 데도 소용이 없고 도리어 해로움을 비유적으로 이르는 말.
말 갈 데 소 간다,"안 갈 데를 간다는 말.,남이 할 수 있는 일이면 나도 할 수 있다는 말."
말 굳다,"말이 더듬더듬 막히다.,말의 내용이나 표현이 부드럽지 못하고 거칠다."
말 귀에 염불,아무리 말하여도 알아듣지 못한다는 말.
말 나다,"어떤 이야기가 시작되다.,비밀스러운 일이 다른 사람의 입에 오르내리게 되다."
말 단 집에 장 단 법 없다,입으로는 그럴듯하게 말하지만 실상은 좋지 못하다는 말.
말 돌리다,어떤 말을 이 사람 저 사람에게 옮기다.
말 되다,"말하는 것이 이치에 맞다.,어떤 사실에 대하여 서로 간에 말이 이루어지다."
말 뒤에 말이 있다,말에는 겉으로 드러나지 아니한 속뜻이 있다는 말.
말 떼다,말을 하기 시작하다.
말 마라,어떤 사실이 보통 이상임을 상대편에게 강조하여 이르는 말.
말 많다,"매우 수다스럽다.,논란이 많다."
말 맞추다,제삼자에게 같은 말을 하기 위하여 다른 사람과 말의 내용이 다르지 않게 하다.
말 못 되다,사정ㆍ형편 따위가 말로 나타낼 수 없을 정도로 좋지 아니하다.
말 살에 쇠 뼈다귀,피차간에 아무 관련성이 없이 얼토당토않음을 이르는 말.
말 살에 쇠 살,합당하지 않은 말로 지껄임을 이르는 말.
말 삼은 소 신이라, 일이 뒤죽박죽되어 못쓰게 되었다는 말.
말 아니다,"말이 이치에 맞지 아니하다.,사정ㆍ형편 따위가 몹시 어렵거나 딱하다."
말 안 하면 귀신도 모른다,마음속으로만 애태울 것이 아니라 시원스럽게 말을 하여야 한다는 말.
말 약 먹듯,먹기 싫은 약을 억지로 먹듯이 무엇을 억지로 먹음을 이르는 말.
말 없는 말,"실제 말을 통하여서가 아니라 표정ㆍ행동 따위를 통하여 나타내는 뜻을 이르는 말.,분위기ㆍ주위 환경 따위를 통하여 느껴지는 어떤 느낌이나 뜻을 이르는 말."
말 잃고 외양간 고친다, 일이 이미 잘못된 뒤에는 손을 써도 소용이 없음을 비꼬는 말.
말 죽은 데 체 장수 모이듯, 남의 불행은 아랑곳없이 제 이익만 채우려고 많은 사람이 모여드는 것을 이르는 말.
말 죽은 밭에 까마귀같이,까맣게 모여 어지럽게 떠드는 모습을 이르는 말.
말 타고 꽃구경,사물을 자세히 못 보고 설쳐 대며 대강대강 훑어봄을 이르는 말.
말 탄 양반 끄덕 소 탄 녀석 끄덕,덩달아 남의 흉내를 낸다는 말.
말 한마디가 대포알 만 개도 당한다,말 잘하는 것이 큰 위력을 가질 수 있음을 비유적으로 이르는 말.
말 한마디에 북두칠성이 굽어본다,진실한 마음으로 말을 잘하면 보람이 크다는 것을 비유적으로 이르는 말.
말 한마디에 천 냥 빚도 갚는다,말만 잘하면 어려운 일이나 불가능해 보이는 일도 해결할 수 있다는 말.
말고기를 다 먹고 무슨 냄새 난다 한다,제 욕심을 채우고 나서 쓸데없는 불평을 함을 비유적으로 이르는 말.
말도 안 되다,실현 가능성이 없거나 이치에 맞지 않다.
말로 배워 되로 풀어먹는다,학문이나 경험 따위를 제대로 활용할 줄 모르는 사람을 비유적으로 이르는 말.
말로 온 동네 다 겪는다,"음식이나 물건으로는 힘이 벅차서 많은 사람을 다 대접하지 못하므로 언변으로나마 잘 대접한다는 말.,말로만 남을 대접하는 체한다는 말."
말로는 못 할 말이 없다,실지 행동이나 책임이 뒤따르지 아니하는 말은 무슨 말이든지 다 할 수 있다는 말.
말문이 열리다,입을 열어 말을 하게 되다.
말은 꾸밀 탓으로 간다,같은 내용의 말이라도 하기에 달렸다는 말.
말은 끌어야 잘 가고 소는 몰아야 잘 간다,어떤 일이나 특성에 맞게 일을 처리하여야 성과를 거둘 수 있음을 이르는 말.
말은 바른대로 하고 큰 고기는 내 앞에 놓아라,거짓말을 하거나 남을 속이려 하지 말고 솔직하게 털어놓으라고 이르는 말.
말은 앞서 할 게 아니다,구체적인 내용이나 진실을 모른 채 함부로 앞질러 말해서는 안 됨을 이르는 말.
말은 앵무새,말은 그럴듯하게 잘하나 실천이 없는 사람을 이르는 말.
말은 이 죽이듯 한다,말을 할 때 조금도 남김없이 자세히 다 함을 이르는 말.
말은 청산유수다,말을 그칠 줄 모르고 잘한다는 말.
말은 하는 데 달리지 않고 듣는 데 달렸다,남의 말은 귀담아서 바르게 이해하여 들어야 함을 이르는 말.
말은 할 탓이다,같은 내용의 말이라도 하기에 달렸다는 말.
말을 잃다,놀라거나 어이가 없어 말이 나오지 않다.
