idiom,en_meaning
go through the motions,to do something without enthusiasm or effort; to merely go through the required actions without genuine interest or commitment
go through the roof,"to become very angry, furious, or extremely upset"
go to ground,"to hide or go into hiding, especially to avoid being caught or discovered"
go to hell in a handbasket,to deteriorate or become worse quickly
go to seed,"to become run-down, neglected, or untidy; to decline or deteriorate in appearance or condition"
go to the dogs,"to deteriorate or decline, especially in terms of quality or standards"
go to the mat,"to engage in a fierce and determined confrontation or fight, often to defend or support a particular cause or belief"
go to the wall,to face failure or ruin; to be defeated or destroyed
go to town,"to do something with great enthusiasm, energy, or intensity"
go to war (over someone or something),to strongly oppose or fight for someone or something
go to your head,"to make someone feel proud or arrogant, often as a result of success or praise"
go under the hammer,to be sold at an auction
go up in smoke,to be completely destroyed or ruined; to fail utterly or come to nothing
go west,to die
go with the flow,to adapt to a situation or circumstance without resistance or effort
go without saying,to be understood or accepted as obvious or true without needing to be stated explicitly
god forbid,expressing a strong desire that something should not happen or be the case
god knows,Used to emphasize that one does not know or cannot guess something
god's honest truth,sincere and genuine truth
going nuts,"to become very excited, angry, or crazy"
